time,date,subj,trial,game_id,cellorder,upper_left,upper_right,lower_left,lower_right,pressedkey,chosen_cells,play
1353943101.682,"2012-11-26 15:18:38",001640,24,4053,0123,"[50, 50]","[50, 80]","[80, 50]","[40, 40]",up,"0,1",NULL
1353943118.999,"2012-11-26 15:18:52",001640,25,2031,1032,"[10, 60]","[30, 30]","[40, 40]","[60, 10]",down,"3,2",NULL
1353943132.841,"2012-11-26 15:19:01",001640,26,2102,2301,"[60, 70]","[40, 40]","[70, 70]","[70, 60]",down,"0,1",NULL
1353943141.703,"2012-11-26 15:19:09",001640,27,2122,3210,"[40, 40]","[60, 50]","[50, 60]","[90, 90]",down,"1,0",NULL
1353943149.851,"2012-11-26 15:19:22",001640,28,4083,0123,"[50, 50]","[50, 60]","[60, 50]","[40, 40]",up,"0,1",NULL
1353943162.744,"2012-11-26 15:19:30",001640,29,3144,3210,"[60, 60]","[60, 30]","[30, 60]","[90, 90]",down,"1,0",NULL
1353943170.193,"2012-11-26 15:22:15",001640,30,2092,0123,"[70, 70]","[50, 60]","[60, 50]","[40, 40]",up,"0,1",NULL
1353943335.259,"2012-11-26 15:22:24",001640,31,2164,1032,"[30, 60]","[70, 70]","[40, 40]","[60, 30]",up,"1,0",NULL
1353943344.745,"2012-11-26 15:22:31",001640,32,1031,3210,"[60, 60]","[80, 30]","[30, 80]","[50, 50]",up,"3,2",NULL
1353943351.218,"2012-11-26 15:22:45",001640,33,1021,1032,"[30, 60]","[50, 50]","[60, 60]","[60, 30]",down,"3,2",NULL
1353943365.524,"2012-11-26 15:22:53",001640,34,1164,3210,"[40, 40]","[40, 30]","[30, 40]","[50, 50]",down,"1,0",NULL
1353943373.722,"2012-11-26 15:23:05",001640,35,2011,1032,"[30, 60]","[50, 50]","[40, 40]","[60, 30]",up,"1,0",NULL
1353943385.345,"2012-11-26 15:23:14",001640,36,1063,1032,"[30, 80]","[50, 50]","[0, 0]","[80, 30]",up,"1,0",NULL
1353943394.89,"2012-11-26 15:23:23",001640,37,3031,1032,"[30, 60]","[30, 30]","[60, 60]","[60, 30]",down,"3,2",NULL
1353943403.375,"2012-11-26 15:23:38",001640,38,4154,2301,"[40, 10]","[40, 40]","[50, 50]","[10, 40]",down,"0,1",NULL
1353943418.698,"2012-11-26 15:23:52",001640,39,4122,1032,"[50, 20]","[50, 50]","[40, 40]","[20, 50]",up,"1,0",NULL
1353943432.975,"2012-11-26 15:24:48",001640,40,1144,1032,"[30, 20]","[50, 50]","[60, 60]","[20, 30]",down,"3,2",NULL
1353943488.324,"2012-11-26 15:24:57",001640,41,3073,1032,"[30, 60]","[50, 50]","[0, 0]","[60, 30]",up,"1,0",NULL
1353943498.014,"2012-11-26 15:25:06",001640,42,4112,1032,"[70, 20]","[50, 50]","[40, 40]","[20, 70]",up,"1,0",NULL
1353943506.729,"2012-11-26 15:25:18",001640,43,2063,2301,"[60, 70]","[40, 40]","[30, 30]","[70, 60]",up,"2,3",NULL
1353943519.013,"2012-11-26 15:25:25",001640,44,2112,0123,"[90, 90]","[70, 60]","[60, 70]","[40, 40]",up,"0,1",NULL
1353943525.496,"2012-11-26 15:25:44",001640,45,4092,0123,"[50, 50]","[50, 40]","[40, 50]","[40, 40]",up,"0,1",NULL
1353943544.748,"2012-11-26 15:25:57",001640,46,4021,0123,"[50, 50]","[10, 60]","[60, 10]","[40, 40]",up,"0,1",NULL
1353943557.339,"2012-11-26 15:26:12",001640,47,3053,2301,"[60, 30]","[20, 20]","[30, 30]","[30, 60]",down,"0,1",NULL
1353943572.767,"2012-11-26 15:26:22",001640,48,2021,0123,"[50, 50]","[10, 60]","[60, 10]","[40, 40]",up,"0,1",NULL
1353943582.166,"2012-11-26 15:26:36",001640,49,3041,1032,"[30, 60]","[30, 30]","[40, 40]","[60, 30]",down,"3,2",NULL
1353943596.5,"2012-11-26 15:28:12",001640,50,3102,3210,"[0, 0]","[60, 30]","[30, 60]","[70, 70]",down,"1,0",NULL
1353943692.282,"2012-11-26 15:28:21",001640,51,2154,3210,"[40, 40]","[60, 10]","[10, 60]","[70, 70]",down,"1,0",NULL
