"expt","sub","trial.no","rt"
"expt 1","007872",27,13670
"expt 1","007872",28,26920
"expt 1","007872",29,6796
"expt 1","007872",30,13537
"expt 1","007872",31,12939
"expt 1","007872",32,32215
"expt 1","007872",33,20045
"expt 1","007872",34,38508
"expt 1","007872",35,24960
"expt 1","007872",36,47407
"expt 1","007872",37,7477
"expt 1","007872",38,24428
"expt 1","007872",39,13272
"expt 1","007872",40,5866
"expt 1","007872",41,9569
"expt 1","007872",42,17472
"expt 1","007872",43,8374
"expt 1","007872",44,6863
"expt 1","007872",45,7079
"expt 1","007872",46,7062
"expt 1","007872",47,5734
"expt 1","007872",48,8822
"expt 1","007872",49,5999
"expt 1","007872",50,4372
"expt 1","007872",51,6763
"expt 1","007872",52,8839
"expt 1","007872",53,17189
"expt 1","007872",54,18203
"expt 1","007872",55,4488
"expt 1","007872",56,22337
"expt 1","007872",57,7676
"expt 1","007872",58,8225
"expt 1","007872",59,11728
"expt 1","007872",60,6315
"expt 1","007872",61,7377
"expt 1","007872",62,11976
"expt 1","007872",63,6996
"expt 1","008256",0,5485
"expt 1","008256",1,3127
"expt 1","008256",2,4123
"expt 1","008256",3,3343
"expt 1","008256",4,7245
"expt 1","008256",5,7360
"expt 1","008256",6,6912
"expt 1","008256",7,7909
"expt 1","008256",8,8839
"expt 1","008256",9,7311
"expt 1","008256",10,6049
"expt 1","008256",11,4853
"expt 1","008256",12,3044
"expt 1","008256",13,7427
"expt 1","008256",14,4007
"expt 1","008256",15,5452
"expt 1","008256",16,6896
"expt 1","008256",17,3226
"expt 1","008256",18,4654
"expt 1","008256",19,4389
"expt 1","008256",20,2630
"expt 1","008256",21,1932
"expt 1","008256",22,2912
"expt 1","008256",23,2663
"expt 1","008256",24,2963
"expt 1","008256",25,6265
"expt 1","008256",26,3060
"expt 1","008256",27,4555
"expt 1","008256",28,2945
"expt 1","008256",29,2911
"expt 1","008256",30,2380
"expt 1","008256",31,1815
"expt 1","008256",32,2679
"expt 1","008256",33,2131
"expt 1","008256",34,2280
"expt 1","008256",35,2231
"expt 1","008256",36,6996
"expt 1","008256",37,9668
"expt 1","008256",38,4604
"expt 1","008256",39,9469
"expt 1","008256",40,5733
"expt 1","008256",41,5800
"expt 1","008256",42,3642
"expt 1","008256",43,8656
"expt 1","008256",44,8108
"expt 1","008256",45,5982
"expt 1","008256",46,6863
"expt 1","008256",47,3940
"expt 1","008256",48,6298
"expt 1","008256",49,6315
"expt 1","008256",50,5120
"expt 1","008256",51,3758
"expt 1","008256",52,4223
"expt 1","008256",53,5053
"expt 1","008256",54,1866
"expt 1","008256",55,2380
"expt 1","008256",56,2330
"expt 1","008256",57,4289
"expt 1","008256",58,4406
"expt 1","008256",59,2911
"expt 1","008256",60,1915
"expt 1","008256",61,3575
"expt 1","008256",62,5335
"expt 1","008256",63,7693
"expt 1","009848",0,3957
"expt 1","009848",1,3891
"expt 1","009848",2,3326
"expt 1","009848",3,2462
"expt 1","009848",4,4987
"expt 1","009848",5,5601
"expt 1","009848",6,4953
"expt 1","009848",7,6929
"expt 1","009848",8,5501
"expt 1","009848",9,4057
"expt 1","009848",10,3409
"expt 1","009848",11,4854
"expt 1","009848",12,4853
"expt 1","009848",13,5684
"expt 1","009848",14,7194
"expt 1","009848",15,3991
"expt 1","009848",16,4854
"expt 1","009848",17,6763
"expt 1","009848",18,5435
"expt 1","009848",19,3575
"expt 1","009848",20,3658
"expt 1","009848",21,4870
"expt 1","009848",22,4987
"expt 1","009848",23,10416
"expt 1","009848",24,1899
"expt 1","009848",25,6763
"expt 1","009848",26,7510
"expt 1","009848",27,9569
"expt 1","009848",28,7178
"expt 1","009848",29,4921
"expt 1","009848",30,4339
"expt 1","009848",31,9087
"expt 1","009848",32,3293
"expt 1","009848",33,12806
"expt 1","009848",34,4124
"expt 1","009848",35,4472
"expt 1","009848",36,5385
"expt 1","009848",37,6780
"expt 1","009848",38,8058
"expt 1","009848",39,6331
"expt 1","009848",40,2862
"expt 1","009848",41,7676
